V1	V2	V3	dist	exp_global	p_global	exp_local	p_local
19800000	23870000	64.988205	4070000	1.39817221686658	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000885504524868268	46.1459090627407	0.00507895284658034
23850000	23870000	124.85788	20000	95.0777120230399	0.00189385827202181	169.223203139901	0.999838155147811
23860000	23870000	331.9129	10000	175.461795842666	0.0000000000000000000000000499068419849484	348.164596205368	0.813633933611189
23870000	23870000	1004.036	0	444.364167753117	4.31070493104352e-115	968.619459852398	0.124827314013345
23870000	23880000	318.81543	10000	175.461795842666	0.000000000000000000000164054168619764	419.630520923055	0.999999869537282
23870000	23890000	229.59637	20000	95.0777120230399	0.000000000000000000000000000000101395450091285	235.919619708143	0.658716875227113
23870000	23900000	269.85428	30000	67.4095928193075	0.0000000000000000000000000000000000000000000000000000000000000000000000000000602104304266887	182.770014824145	0.000000000990014516031914
23870000	23910000	242.79333	40000	53.1445743528872	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000356341620989968	142.65011967589	0.0000000000000142350257723106
23870000	23920000	137.75331	50000	44.9598255472197	0.000000000000000000000000000078168243115517	114.436449885356	0.0176827862648018
23870000	23930000	192.41669	60000	39.0299364515044	0.00000000000000000000000000000000000000000000000000000000000000000000282442232469434	92.9973493806271	0.0000000000000000000938505218906607
23870000	23940000	62.315968	70000	34.809820976551	0.0000110839702324392	72.3286814073243	0.877657541560232
23870000	24000000	39.81141	130000	22.3853442639116	0.000495767870016642	29.2816782322332	0.0342821585755579
23870000	24010000	39.015137	140000	21.3143851246804	0.000193494276235117	27.7008487675622	0.0163593278532495
23870000	24020000	38.423523	150000	20.0454834575311	0.000113782513871103	25.0480232015201	0.0058672082605234
