V1	V2	V3	dist	exp_global	p_global	exp_local	p_local
19090000	23870000	4.580027	4780000	1.1806480227396	0.00725347408348082	3.87205054352496	0.346183305462886
20860000	23870000	5.027839	3010000	1.41380979222699	0.00335650676121975	1.9219371180267	0.0139083910184433
21630000	23870000	5.036946	2240000	1.6448069775445	0.00686908456468009	1.89799267253312	0.0131573283360807
23790000	23870000	62.8748	80000	43.575213801991	0.00332808890206727	60.7348622608863	0.402556526549782
23800000	23870000	65.65943	70000	47.446264593832	0.00621736730592402	66.41969769496	0.536879717400862
23820000	23870000	80.92551	50000	59.6401646729951	0.00489064858127485	87.4225832988262	0.768036406882664
23840000	23870000	113.927925	30000	87.6651139803358	0.00396389144118636	123.720949176863	0.820375617682126
23850000	23870000	180.87659	20000	122.866093182644	0.000000556386918624986	175.608968010129	0.352002619396045
23860000	23870000	368.98816	10000	229.872248525167	0.0000000000000000206135303414174	328.028033789473	0.0139076149813004
23870000	23870000	727.80115	0	577.66651296224	0.00000000100651136532056	849.91914474986	0.999991485614056
23870000	23880000	361.29504	10000	229.872248525167	0.000000000000000551629048035291	348.079648065368	0.23463904016833
23870000	23890000	180.06744	20000	122.866093182644	0.000000556386918624986	189.714566974151	0.746116084951813
23870000	23900000	157.21007	30000	87.6651139803358	0.00000000000934153981111909	135.266426278772	0.0302884561098274
23870000	23910000	100.84981	40000	70.1155702675753	0.00030891592790879	103.952957367547	0.627072732367622
23870000	23920000	86.09157	50000	59.6401646729951	0.000525184007060796	83.2797868051984	0.356136864484334
23870000	30940000	4.1749907	7070000	1.13655206091024	0.00621390132630687	1.32761227670863	0.0115844652979627
23870000	41980000	4.626829	18110000	1.03014019557971	0.00414308133746663	1.62459085725904	0.0250630980551711
