V1	V2	V3	dist	exp_global	p_global	exp_local	p_local
23570000	23870000	16.760815	300000	8.43257799557785	0.00614014880367785	10.6914913877055	0.0453876317350675
23580000	23870000	16.543041	290000	8.67978386929665	0.00801778386107668	10.6810789871248	0.0450586551734555
23760000	23870000	31.465712	110000	18.0106400086704	0.00182954702271247	34.4902973544267	0.687188250166932
23770000	23870000	37.317062	100000	19.3518542397604	0.00011509364519229	39.3200742186233	0.604752116632279
23780000	23870000	58.651875	90000	20.9175278433897	0.00000000000737797952363041	44.5963964323714	0.022232173854959
23790000	23870000	46.424698	80000	22.8659368561242	0.00000650148933974862	48.6724501489169	0.6139468943609
23800000	23870000	62.283836	70000	25.4827489276199	0.000000000279906270602475	54.8194988465415	0.149987177094506
23810000	23870000	67.27014	60000	28.5840610306214	0.000000000273794663882593	59.2617753989966	0.142781051440473
23820000	23870000	69.08751	50000	33.258327667234	0.0000000190888601197335	67.0121467924288	0.37360127674402
23830000	23870000	77.01054	40000	39.8376583406092	0.0000000585028514373511	75.9788377140235	0.423470676496254
23840000	23870000	77.90906	30000	50.662608567111	0.000218536594260446	93.1106819470115	0.950391361511926
23850000	23870000	141.25676	20000	70.8666971734987	0.0000000000000707238649836619	128.001043955302	0.11750716463962
23860000	23870000	256.69742	10000	128.657632802089	0.0000000000000000000000160165552169592	233.180008776476	0.0650827699520957
23870000	23870000	524.36536	0	367.345278388169	0.00000000000000639862088642322	650.479656968954	0.999999836015512
23870000	23880000	213.98825	10000	128.657632802089	0.00000000000399835851203278	229.92112388866	0.861065780323713
23870000	23890000	158.4375	20000	70.8666971734987	0.000000000000000000168414434188281	130.677556792009	0.00893086522730058
23870000	23900000	125.87966	30000	50.662608567111	0.000000000000000000429147549876816	93.3504605113676	0.000746591005607266
23870000	23910000	74.13929	40000	39.8376583406092	0.00000043895814684797	70.0696242468557	0.293368678054438
23870000	23920000	71.0836	50000	33.258327667234	0.00000000403777786672053	55.3236595349848	0.0178002691105564
23870000	23930000	52.2473	60000	28.5840610306214	0.0000280646361578617	43.338093000089	0.0851706932072226
23870000	24430000	11.67447	560000	5.00118307387662	0.00546284994097303	4.80587238734504	0.00402953815696418
